file_path,class_id,class_name
49-210-D2-SARA AA/Set2_Jo_F1_T-0005_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_F1_P-0033_136.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_F1_P-0018_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_F1_P-0008_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_Jo_M1_T-0036_149.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_Jo_M1_T-0088_135.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_M1_P-0026_142.jpg,49,SARA AA
49-210-D2-SARA AA/Set5_M1_P-000015_124.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_M1_P-0006_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_F1_P-0131_136.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0043_135.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0054_149.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_Jo_F1_T-0065_148.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0236_136.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0199_147.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0226_136.jpg,49,SARA AA
49-210-D2-SARA AA/Set5_M1_P-000050_123.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0153_142.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_M1_P-0064_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0159_135.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0066_143.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_M1_P-0012_145.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_M1_P-0074_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_Jo_M1_T-0069_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_F1_P-0102_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_F1_P-0112_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0180_145.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_M1_P-0086_146.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_M1_P-0101_135.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0224_146.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_Jo_M1_T-0005_147.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_M1_P-0080_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_F1_P-0010_138.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_M1_P-0090_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_M1_P-0008_141.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0122_137.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_M1_P-0039_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_M1_P-0029_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_Jo_M1_T-0075_136.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_F1_P-0027_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_Jo_M1_T-0091_137.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_F1_P-0037_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0111_138.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0101_138.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_M1_P-0103_144.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_F1_P-0045_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_M1_P-0084_137.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_Jo_M1_T-0046_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_Jo_M1_T-0056_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_Jo_F1_T-0019_136.jpg,49,SARA AA
49-210-D2-SARA AA/Set5_M1_P-000048_124.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0028_137.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0014_142.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_Jo_F1_T-0044_137.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0034_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_F1_P-0160_138.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_Jo_F1_T-0069_147.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0106_146.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_F1_P-0121_135.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_Jo_F1_T-0054_135.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_Jo_M1_T-0077_145.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_F1_P-0009_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0241_138.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0023_147.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0033_147.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_F1_P-0063_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_F1_P-0073_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_F1_P-0179_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_M1_P-0091_138.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_F1_P-0001_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_M1_P-0081_138.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_F1_P-0169_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_F1_P-0011_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_Jo_M1_T-0081_135.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0114_137.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_Jo_F1_T-0026_135.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_M1_P-0079_137.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_Jo_M1_T-0033_147.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_M1_P-0038_138.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_F1_P-0041_135.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_F1_P-0124_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_F1_P-0134_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_Jo_M1_T-0072_149.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_M1_P-0042_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_M1_P-0069_136.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_F1_P-0036_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set5_M1_P-000041_124.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0212_147.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0175_142.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0181_143.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_M1_P-0034_137.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0104_136.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0155_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0139_146.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_Jo_M1_T-0021_137.jpg,49,SARA AA
49-210-D2-SARA AA/Set4_F1_P-0015_144.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_Jo_F1_T-0002_147.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_Jo_M1_T-0031_137.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_F1_P-0097_139.jpg,49,SARA AA
49-210-D2-SARA AA/Set2_Jo_M1_T-0017_135.jpg,49,SARA AA
49-210-D2-SARA AA/Set3_M1_P-0089_139.jpg,49,SARA AA
